title,authors,year,page_count,book_type,rating,rating_count,review_count
"The Daughters Of Yalta: The Churchills, Roosevelts, and Harrimans: A Story of Love and War",['Catherine Grace Katz'],2020.0,417,Kindle Edition,4.11,4837.0,671.0
"Kiss of War (City of Stars, #1)",['Clara Elroy'],2021.0,436,Kindle Edition,3.9,3377.0,320.0
The Afghanistan Papers: A Secret History of the War,"['Craig Whitlock', 'The Washington Post']",2021.0,368,Hardcover,4.26,5629.0,655.0
Toxic (Mafia Wars New York #1),['Maggie Cole'],2022.0,428,Kindle Edition,4.16,4432.0,386.0
The War on the West,['Douglas Murray'],2022.0,308,Hardcover,4.29,6580.0,722.0
The Note Through the Wire: The Incredible True Story of a Prisoner of War and a Resistance Heroine,['Doug Gold'],2019.0,336,Paperback,4.01,4221.0,508.0
Surviving The Forest,['Adiva Geffen'],2019.0,197,Kindle Edition,4.25,4728.0,362.0
These Impossible Things,['Salma El-Wardany'],2022.0,400,Hardcover,4.23,11450.0,1363.0
"Spearhead: An American Tank Gunner, His Enemy, and a Collision of Lives In World War II",['Adam Makos'],2019.0,395,Hardcover,4.53,5789.0,698.0
Looking Glass Sound,['Catriona Ward'],2023.0,342,Hardcover,3.5,10316.0,2573.0
"Second Comes War (Promised in Blood, #2)",['Lilith Vincent'],2021.0,328,Kindle Edition,4.22,6652.0,423.0
"Alphabet Squadron (Star Wars: Alphabet Squadron, #1)",['Alexander Freed'],2019.0,560,Kindle Edition,3.8,6639.0,732.0
Dooku: Jedi Lost,"['Cavan Scott', 'Marc Thompson']",2019.0,7,Audiobook,3.86,9230.0,1131.0
Blade of Iris (Mafia Wars #6),['K.A. Knight'],2022.0,514,Kindle Edition,4.27,4404.0,457.0
The Lifeguards,['Amanda Eyre Ward'],2022.0,368,Hardcover,3.38,12366.0,1549.0
"The Mysterious Case of Rudolf Diesel: Genius, Power, and Deception on the Eve of World War I",['Douglas Brunt'],2023.0,374,Kindle Edition,4.27,3174.0,439.0
Miss Graham's Cold War Cookbook,['Celia Rees'],2020.0,512,Paperback,3.93,4031.0,764.0
"Diplomats & Admirals: From Failed Negotiations and Tragic Misjudgments to Powerful Leaders and Heroic Deeds, the Untold Story of the Pacific War from Pearl Harbor to Midway",['Dale A. Jenkins'],2022.0,402,Kindle Edition,4.3,5499.0,34.0
Hannah's War,['Jan Eliasberg'],2020.0,312,Paperback,3.79,3619.0,481.0
"The North Wind (The Four Winds, #1)",['Alexandria Warwick'],2022.0,448,Paperback,3.71,9839.0,1302.0
The Wedding War,['Liz Talley'],2020.0,321,Kindle Edition,4.01,3862.0,367.0
Ballistic (The Palladium Wars #2),['Marko Kloos'],2020.0,355,Kindle Edition,4.28,6055.0,349.0
The Boy From Block 66: A WW2 Jewish Holocaust Survival True Story (Heroic Children of World War II Book 1),['Limor Regev'],2023.0,243,Kindle Edition,4.47,4294.0,240.0
"Along the Razor's Edge (The War Eternal, #1)",['Rob J. Hayes'],2020.0,346,Kindle Edition,3.83,2854.0,468.0
Snowflakes,['Ruth Ware'],2020.0,31,Kindle Edition,3.52,13078.0,1094.0
"We Are the Dead (The Last War, #1)",['Mike Shackle'],2019.0,488,Paperback,4.1,2186.0,404.0
Crusaders: The Epic History of the Wars for the Holy Lands,['Dan Jones'],2019.0,464,Hardcover,4.15,3603.0,377.0
This Is Not Propaganda: Adventures in the War Against Reality,['Peter Pomerantsev'],2019.0,236,Hardcover,4.04,4191.0,457.0
The Foiled Plan (War of Sins #2),['Veronica Lancet'],2023.0,578,Kindle Edition,3.4,3262.0,361.0
Sentenced to War (Sentenced to War #1),"['J.N. Chaney', 'Jonathan P. Brazee']",2021.0,374,Kindle Edition,4.23,3743.0,196.0
"Our Bodies, Their Battlefields: War Through the Lives of Women",['Christina Lamb'],2020.0,384,Paperback,4.62,3265.0,519.0
The Mosquito Bowl: A Game of Life and Death in World War II,['Buzz Bissinger'],2022.0,480,Hardcover,3.82,3107.0,391.0
The St. Ambrose School for Girls,['Jessica  Ward'],2023.0,358,Hardcover,3.28,6005.0,992.0
"Master of Mayhem (Frat Wars, #2)",['Saxon James'],2022.0,275,Kindle Edition,4.13,6767.0,745.0
"Presidential Chaos (Frat Wars, #3)",['Saxon James'],2022.0,316,Kindle Edition,4.16,6273.0,681.0
The Whispers of War,['Julia  Kelly'],2020.0,336,Paperback,3.87,4872.0,744.0
"Kingdoms at War (Dragon Gate, #1)",['Lindsay Buroker'],2021.0,515,Kindle Edition,4.37,3894.0,272.0
"Dead Country (The Craft Wars, #1)",['Max Gladstone'],2023.0,239,Paperback,4.2,992.0,135.0
"Fair Warning (Jack McEvoy, #3; Harry Bosch Universe, #34)",['Michael Connelly'],2020.0,416,Kindle Edition,4.19,47042.0,3530.0
"Queen's Hope (Star Wars: The Padmé Trilogy, #3)",['E.K. Johnston'],2022.0,280,Hardcover,3.75,4305.0,678.0
"The Daughters' War (Blacktongue, #0)",['Christopher Buehlman'],2024.0,416,Hardcover,4.57,63.0,38.0
"The Savior (Black Dagger Brotherhood, #17)",['J.R. Ward'],2019.0,479,Hardcover,4.44,21108.0,2032.0
"The Retreat (Detective Elin Warner, #2)",['Sarah  Pearse'],2022.0,400,ebook,3.63,31149.0,2800.0
The Women's War (Women's War #1),['Jenna Glass'],2019.0,560,Hardcover,3.89,2265.0,503.0
Killing the Killers: The Secret War Against Terrorists,"[""Bill O'Reilly"", 'Martin Dugard']",2022.0,288,Hardcover,4.19,5738.0,463.0
The New Climate War: The Fight to Take Back Our Planet,['Michael E.  Mann'],2021.0,368,Hardcover,3.96,1952.0,307.0
"Nothing Ventured (William Warwick, #1)",['Jeffrey Archer'],2019.0,320,Hardcover,3.93,45146.0,2364.0
"When You See Me (Detective D.D. Warren, #12; FBI Profiler, #9)",['Lisa Gardner'],2020.0,385,Hardcover,4.25,33543.0,2746.0
"Focused (Ward Sisters, #1)",['Karla Sorensen'],2020.0,276,Kindle Edition,4.0,20620.0,1489.0
Warrior Girl Unearthed,['Angeline Boulley'],2023.0,396,Hardcover,4.35,17840.0,2903.0
"The Legend of Korra: Turf Wars (The Legend of Korra, #1)","['Michael Dante DiMartino', 'Bryan Konietzko', 'Veronica Fish']",2019.0,240,Hardcover,4.34,4130.0,415.0
The Light After the War,['Anita Abriel'],2020.0,320,Hardcover,3.85,4151.0,607.0
"War of Wrath and Ruin (Fae of Rewyth, #3)",['Emily Blackwood'],2022.0,288,Kindle Edition,3.68,2716.0,147.0
The Women with Silver Wings: The Inspiring True Story of the Women Airforce Service Pilots of World War II,['Katherine Sharp Landdeck'],2020.0,448,Hardcover,4.2,1871.0,326.0
"The Rules of Dating (The Law of Opposites Attract, #1)","['Penelope Ward', 'Vi Keeland']",2022.0,417,Kindle Edition,4.08,11646.0,954.0
The War for Kindness: Building Empathy in a Fractured World,['Jamil Zaki'],2019.0,263,Hardcover,3.96,2036.0,234.0
Brink of War (The Prosecution Force #1),['Logan Ryles'],2022.0,338,Kindle Edition,4.53,4625.0,111.0
"Warrior Fae (Ruthless Boys of the Zodiac, #5)","['Caroline Peckham', 'Susanne Valenti']",2021.0,680,Kindle Edition,4.5,25441.0,1881.0
"Never Tell (Detective D.D. Warren #11; FBI Profiler, #8)",['Lisa Gardner'],2019.0,414,Kindle Edition,4.12,35267.0,2764.0
"Was bisher verloren war (Vergissmeinnicht, #2)",['Kerstin Gier'],2023.0,528,Hardcover,4.16,4890.0,493.0
"Daughter of War (Pike Logan, #13)",['Brad Taylor'],2019.0,397,Kindle Edition,4.41,4319.0,253.0
The Second Founding: How the Civil War and Reconstruction Remade the Constitution,['Eric Foner'],2019.0,224,Hardcover,4.23,2212.0,346.0
The Confidence Men: How Two Prisoners of War Engineered the Most Remarkable Escape in History,['Margalit Fox'],2021.0,352,Paperback,3.68,2482.0,354.0
The War Begins in Paris,['Theodore Wheeler'],2023.0,352,Hardcover,3.47,166.0,26.0
"War Queen (Crowns, #3)",['Nicola Tyche'],2023.0,Paperback,Paperback,4.23,1514.0,186.0
Star Wars: Timelines - From the Time Before the High Republic to the Fall of the First Order,"['Kristin Baver', 'Jason Fry', 'Cole Horton']",2023.0,344,Hardcover,4.24,141.0,22.0
The Quiet Americans: Four CIA Spies at the Dawn of the Cold War—A Tragedy in Three Acts,['Scott Anderson'],2020.0,562,Hardcover,4.15,2530.0,304.0
Sisters of the Great War,['Suzanne Feldman'],2021.0,400,Paperback,3.86,1527.0,249.0
Once Upon a Wardrobe,['Patti Callahan Henry'],2021.0,320,Hardcover,4.35,21206.0,3953.0
Out of the Shadows,['Justina Ireland'],2021.0,432,Hardcover,3.77,5254.0,588.0
"Daughters of War (Daughters of War, #1)",['Dinah Jefferies'],2021.0,544,Paperback,4.11,4717.0,416.0
"Broken Fighter (Mafia Wars, #2)",['Maggie Cole'],2021.0,418,Kindle Edition,4.39,3185.0,329.0
The Valkyrie's Daughter (The Helheim Prophecy #1),['Tiana Warner'],2022.0,400,Hardcover,3.73,1572.0,381.0
Do Epic Shit,['Ankur Warikoo'],2021.0,312,Hardcover,3.77,7615.0,906.0
Road to Surrender: Three Men and the Countdown to the End of World War II,['Evan Thomas'],2023.0,336,Hardcover,4.42,1395.0,164.0
"Fatherland: A Memoir of War, Conscience, and Family Secrets",['Burkhard Bilger'],2023.0,336,Hardcover,4.11,1578.0,212.0
The Long March Home: A World War II Novel of the Pacific,"['Marcus Brotherton', 'Tosca Lee']",2023.0,393,Hardcover,4.59,1415.0,358.0
"War of Lanka (Ram Chandra, #4)",['Amish Tripathi'],2023.0,500,Paperback,3.64,5418.0,662.0
"Lover Unveiled (Black Dagger Brotherhood, #19)",['J.R. Ward'],2021.0,509,Kindle Edition,4.24,11967.0,1121.0
Warrior of the Wild,['Tricia Levenseller'],2019.0,329,Hardcover,3.96,13812.0,2478.0
No Man's Land: The Trailblazing Women Who Ran Britain’s Most Extraordinary Military Hospital During World War I,['Wendy Moore'],2020.0,353,Hardcover,4.1,1062.0,209.0
Park Avenue Player,"['Penelope Ward', 'Vi Keeland']",2019.0,300,Paperback,4.17,24254.0,2013.0
Shadow of the Sith,['Adam Christopher'],2022.0,465,Hardcover,3.94,4340.0,572.0
Mal Goes to War,['Edward Ashton'],2024.0,304,Hardcover,4.0,366.0,145.0
"First Encounter (Ascension Wars, #1)","['Jasper T. Scott', 'Aaron Sikes']",2020.0,361,Kindle Edition,3.58,4322.0,198.0
"Where Winter Finds You (Black Dagger Brotherhood, #17.5)",['J.R. Ward'],2019.0,480,Kindle Edition,4.19,11428.0,981.0
The Shadow of War: A Novel of the Cuban Missile Crisis,['Jeff Shaara'],2024.0,368,Hardcover,4.33,57.0,48.0
"The Sinner (Black Dagger Brotherhood, #18)",['J.R. Ward'],2020.0,498,Hardcover,4.36,16022.0,1513.0
"Architects of Memory (The Memory War, #1)",['Karen Osborne'],2020.0,336,Paperback,3.62,1364.0,248.0
American Carnage: On the Front Lines of the Republican Civil War and the Rise of President Trump,['Tim Alberta'],2019.0,688,Hardcover,4.17,3133.0,444.0
The War Pianist,['Mandy  Robotham'],2023.0,384,Paperback,4.11,3066.0,317.0
"Faked (Ward Sisters, #2)",['Karla Sorensen'],2020.0,259,Kindle Edition,4.06,16299.0,1219.0
After the Romanovs: Russian Exiles in Paris from the Belle Époque Through Revolution and War,['Helen Rappaport'],2022.0,336,Hardcover,3.77,975.0,289.0
You Don’t Know What War Is,['Yeva Skalietska'],2022.0,128,Hardcover,3.9,3318.0,448.0
"The Occupation (World War Two Sagas, #2)",['Deborah Swift'],2019.0,340,Kindle Edition,4.45,2887.0,126.0
Midnight Horizon,['Daniel José Older'],2022.0,490,Hardcover,3.73,3806.0,457.0
"The Hidden Palace (The Daughters of War, #2)",['Dinah Jefferies'],2022.0,528,Paperback,4.12,3058.0,227.0
"Cruel Enforcer (Mafia Wars, #3)",['Maggie Cole'],2021.0,450,Kindle Edition,4.54,2975.0,287.0
Immoral (Mafia Wars New York #2),['Maggie Cole'],2022.0,438,Kindle Edition,4.33,2438.0,245.0
"Seasons of War (Skulduggery Pleasant, #13)",['Derek Landy'],2020.0,592,Hardcover,4.44,4000.0,306.0
"The Road to Station X: From Debutante Ball to Fighter-Plane Factory to Bletchley Park, a Memoir of One Woman's Journey Through World War Two",['Sarah Baring'],2020.0,179,Kindle Edition,4.0,1806.0,175.0
The Hive (The Second Formic War #2),"['Orson Scott Card', 'Aaron Johnston']",2019.0,400,Hardcover,4.1,3585.0,261.0
"Cruel Enforcer (Mafia Wars, #3)",['Maggie Cole'],2021.0,450,Kindle Edition,4.54,2976.0,287.0
"The Road to Station X: From Debutante Ball to Fighter-Plane Factory to Bletchley Park, a Memoir of One Woman's Journey Through World War Two",['Sarah Baring'],2020.0,179,Kindle Edition,4.0,1807.0,176.0
"The Road to Station X: From Debutante Ball to Fighter-Plane Factory to Bletchley Park, a Memoir of One Woman's Journey Through World War Two","('Sarah Baring',)",2020.0,179,Kindle Edition,4.0,1808.0,176.0
After the Romanovs: Russian Exiles in Paris from the Belle Époque Through Revolution and War,"('Helen Rappaport',)",2022.0,336,Hardcover,3.77,976.0,289.0
"Cruel Enforcer (Mafia Wars, #3)","('Maggie Cole',)",2021.0,450,Kindle Edition,4.54,2979.0,287.0
Midnight Horizon,"('Daniel José Older',)",2022.0,490,Hardcover,3.73,3807.0,457.0
Against All Odds: A True Story of Ultimate Courage and Survival in World War II,"('Alex Kershaw',)",2022.0,368,Hardcover,4.33,2436.0,214.0
"Cruel Enforcer (Mafia Wars, #3)","('Maggie Cole',)",2021.0,450,Kindle Edition,4.54,2980.0,288.0
"The Road to Station X: From Debutante Ball to Fighter-Plane Factory to Bletchley Park, a Memoir of One Woman's Journey Through World War Two","('Sarah Baring',)",2020.0,179,Kindle Edition,4.0,1809.0,176.0
"The Hidden Palace (The Daughters of War, #2)","('Dinah Jefferies',)",2022.0,528,Paperback,4.12,3058.0,227.0
"The Hidden Palace (The Daughters of War, #2)","('Dinah Jefferies',)",2022.0,528,Paperback,4.12,3059.0,227.0
"The Jackal (Black Dagger Brotherhood: Prison Camp, #1)","('J.R. Ward',)",2020.0,365,Kindle Edition,4.25,11159.0,1079.0
"The Hidden Palace (The Daughters of War, #2)","('Dinah Jefferies',)",2022.0,528,Paperback,4.12,3060.0,227.0
The First Wave: The D-Day Warriors Who Led the Way to Victory in World War II,"('Alex Kershaw',)",2019.0,384,Hardcover,4.28,2671.0,233.0
Midnight Horizon,"('Daniel José Older',)",2022.0,490,Hardcover,3.73,3808.0,458.0
American Carnage: On the Front Lines of the Republican Civil War and the Rise of President Trump,"('Tim Alberta',)",2019.0,688,Hardcover,4.17,3133.0,444.0
"The Jackal (Black Dagger Brotherhood: Prison Camp, #1)","('J.R. Ward',)",2020.0,365,Kindle Edition,4.25,11160.0,1079.0
"Architects of Memory (The Memory War, #1)","('Karen Osborne',)",2020.0,336,Paperback,3.62,1364.0,248.0
"The Occupation (World War Two Sagas, #2)","('Deborah Swift',)",2019.0,340,Kindle Edition,4.45,2887.0,126.0
Immoral (Mafia Wars New York #2),"('Maggie Cole',)",2022.0,438,Kindle Edition,4.33,2438.0,245.0
Midnight Horizon,"('Daniel José Older',)",2022.0,490,Hardcover,3.73,3809.0,458.0
You Don’t Know What War Is,"('Yeva Skalietska',)",2022.0,128,Hardcover,3.9,3319.0,448.0
You Don’t Know What War Is,"('Yeva Skalietska',)",2022.0,128,Hardcover,3.9,3320.0,448.0
Midnight Horizon,"('Daniel José Older',)",2022.0,490,Hardcover,3.73,3810.0,458.0
